2017-07-15T20:00:01+0000,980601328736431_1063712413758655,There is no safe level of exposure to secondhand smoke. Even a short time can harm your health. http://bit.ly/2unrpTg #smoking,2017-07-17T04:05:45+0000,Sandra South Wilson,"Yes, I know this to be true!!!"
2017-07-15T20:00:01+0000,980601328736431_1063712413758655,There is no safe level of exposure to secondhand smoke. Even a short time can harm your health. http://bit.ly/2unrpTg #smoking,2017-07-17T17:30:36+0000,Donna Dodge,More BULLSHIT
2017-07-15T16:01:01+0000,980601328736431_1063480963781800,"You can never buy back time, so keep it #tobaccofree. #Smoking can shorten your life by more than 12%. http://bit.ly/2tRUoxS",2017-07-17T13:01:44+0000,Mary Till,True! Life is worth living
2017-07-14T22:00:26+0000,980601328736431_1062970497166180,Over 16 million Americans have a disease caused by #smoking. Smoking can cause long-term damage. http://bit.ly/2ukeb9W,2017-07-15T04:57:02+0000,Larry Christensen,It seems like more people are smoking again nowadays. How fucking stupid.
2017-07-14T22:00:26+0000,980601328736431_1062970497166180,Over 16 million Americans have a disease caused by #smoking. Smoking can cause long-term damage. http://bit.ly/2ukeb9W,2017-07-15T19:56:04+0000,Rick McCulley,Gage Peterson
2017-07-14T22:00:26+0000,980601328736431_1062970497166180,Over 16 million Americans have a disease caused by #smoking. Smoking can cause long-term damage. http://bit.ly/2ukeb9W,2017-07-17T04:56:10+0000,Sandi Kirk,"First there would have to be a smokers only disease in order to say ""caused"" by smoking."
2017-07-13T22:00:47+0000,980601328736431_1062209323908964,"#Smoking damages DNA, which can cause cancer almost anywhere, not just the lungs. http://bit.ly/2sS8GuL",2017-07-15T01:13:14+0000,Phillip Sher,Amusing propaganda!
2017-07-13T22:00:47+0000,980601328736431_1062209323908964,"#Smoking damages DNA, which can cause cancer almost anywhere, not just the lungs. http://bit.ly/2sS8GuL",2017-07-15T01:39:40+0000,Dennis Camerom,"Tobacco company says ""smoking does not cause cancer"". U telling me big ""pharmaceutical companies would lie 2 us😊"
2017-07-13T22:00:47+0000,980601328736431_1062209323908964,"#Smoking damages DNA, which can cause cancer almost anywhere, not just the lungs. http://bit.ly/2sS8GuL",2017-07-15T04:01:33+0000,Angel D'Andrew,The face Sarah Palin makes when she looks in the mirror.
2017-07-13T20:00:33+0000,980601328736431_1062145370582026,"160,000+ US cancer deaths every year are linked to #smoking. Smoking can cause cancer almost anywhere in the body. http://bit.ly/2tSbaxi",2017-07-14T10:23:43+0000,Jeanie Voytko,Cigs are bad for me!
