"Campaign Name",Ends,"Campaign ID",Impressions,"Link Clicks","Post Shares","Post Comments","Post Engagement","Post Reactions",Starts,"Reporting Starts","Reporting Ends","Amount Spent (USD)"
"Post: ""There is no safe level of exposure to secondhand...""",2017-05-24,6073437653039,1070,3,8,3,60,37,2017-05-22,2017-04-19,2017-07-19,8.28
"Post: ""Nicotine can change the way your brain works,...""",2017-05-24,6073428179439,2188,3,15,7,123,50,2017-05-22,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-05-24,6073428094039,761,7,,,144,137,2017-05-22,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-24,6073425884839,1833,8,,,31,23,2017-05-22,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-23,6073394796039,2987,3,,,61,58,2017-05-21,2017-04-19,2017-07-19,8
"Post: ""Some say they smoke to reduce stress. Nope....""",2017-05-23,6073392616639,614,,5,7,92,32,2017-05-21,2017-04-19,2017-07-19,8.28
"Post: ""#Smoking damages DNA, which can lead to cancer...""",2017-05-23,6073390702439,782,2,,1,9,3,2017-05-21,2017-04-19,2017-07-19,8.28
"Post: ""#Smoking can cause long-term damage. Over 16...""",2017-05-23,6073385372639,514,1,7,,43,33,2017-05-21,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-05-23,6073385306039,426,13,,,93,80,2017-05-21,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-23,6073383986639,787,2,,,128,126,2017-05-21,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-22,6073366711639,3577,2,,,15,13,2017-05-20,2017-04-19,2017-07-19,8
"Post: ""You can never buy back time, so keep it...""",2017-05-22,6073364544639,406,1,2,,26,20,2017-05-20,2017-04-19,2017-07-19,8.28
"Post: ""When someone dies from #tobacco use, we lose them...""",2017-05-22,6073362120639,1795,3,7,5,137,51,2017-05-20,2017-04-19,2017-07-19,8.28
"Post: ""#Tobacco is a major preventable cause of death....""",2017-05-22,6073357155839,621,,4,3,33,23,2017-05-20,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-05-22,6073357117639,3182,6,,,72,66,2017-05-20,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-22,6073355342639,304,3,,,92,89,2017-05-20,2017-04-19,2017-07-19,5
"Instagram Post",2017-05-22,6073336229039,2358,2,,,35,33,2017-05-19,2017-04-19,2017-07-19,8
"Post: ""Using #tobacco products can lead to addiction and...""",2017-05-21,6073333458639,559,,2,2,13,6,2017-05-19,2017-04-19,2017-07-19,8.28
"Post: ""Smokers die about 10 years younger than...""",2017-05-21,6073329994839,488,1,1,2,33,26,2017-05-19,2017-04-19,2017-07-19,8.28
"Post: ""Even if you don’t smoke, you could be breathing...""",2017-05-21,6073319726839,601,1,2,,8,1,2017-05-19,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-05-21,6073319563839,692,7,,,89,82,2017-05-19,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-21,6073317154439,845,5,,,74,69,2017-05-19,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-20,6073283189839,2382,3,,,19,16,2017-05-18,2017-04-19,2017-07-19,8
"Post: ""#Tobacco is a major preventable cause of death....""",2017-05-20,6073280171839,771,,6,4,53,33,2017-05-18,2017-04-19,2017-07-19,8.28
"Post: ""Even occasional #smoking can hurt you. If nobody...""",2017-05-20,6073275762639,1020,3,7,2,55,31,2017-05-18,2017-04-19,2017-07-19,8.28
"Post: ""Look out for the lil ones by keeping it...""",2017-05-20,6073263757039,1044,2,3,1,78,29,2017-05-18,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-05-20,6073263626639,868,3,,,73,70,2017-05-18,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-20,6073260258839,1558,3,,1,13,9,2017-05-18,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-19,6073228902639,1820,4,1,,30,25,2017-05-17,2017-04-19,2017-07-19,8
"Post: ""#Smoking can damage everyone's wallets. Smoking...""",2017-05-19,6073225890039,467,,3,1,27,19,2017-05-17,2017-04-19,2017-07-19,8.28
"Post: ""Polonium-210 is a chemical in nuclear reactors....""",2017-05-19,6073221682639,443,,3,1,20,11,2017-05-17,2017-04-19,2017-07-19,8.28
"Post: ""About 40% of non-smokers in this country are...""",2017-05-19,6073211859639,493,,1,,28,23,2017-05-17,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-05-19,6073211715439,834,4,,,74,70,2017-05-17,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-19,6073208382639,620,4,,,99,95,2017-05-17,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-18,6073175418039,1816,3,,1,48,44,2017-05-16,2017-04-19,2017-07-19,8
"Post: ""Secondhand smoke causes 40000+ US deaths per...""",2017-05-18,6073171600239,847,,5,3,40,21,2017-05-16,2017-04-19,2017-07-19,8.28
"Post: ""Hydrogen cyanide is found in #cigarette smoke....""",2017-05-18,6073167389639,930,1,4,11,66,26,2017-05-16,2017-04-19,2017-07-19,8.28
"Post: ""There is no safe level of exposure to secondhand...""",2017-05-18,6073157300239,1018,,7,6,55,19,2017-05-16,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-05-18,6073157188439,617,7,,,81,74,2017-05-16,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-18,6073154803039,698,3,,,71,68,2017-05-16,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-17,6073120435239,1978,1,,2,56,53,2017-05-15,2017-04-19,2017-07-19,8
"Post: ""#Smoking can weaken our immune systems, leaving...""",2017-05-17,6073117663639,554,2,,,15,11,2017-05-15,2017-04-19,2017-07-19,8.28
"Post: ""About 20% of all US deaths are caused by a...""",2017-05-17,6073113143639,491,1,2,,36,29,2017-05-15,2017-04-19,2017-07-19,8.28
"Post: ""Nicotine can change the way our brains work,...""",2017-05-17,6073102915639,753,1,4,2,49,30,2017-05-15,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-05-17,6073102821439,307,9,,,87,78,2017-05-15,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-17,6073100755439,721,4,,,81,77,2017-05-15,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-16,6073071473239,367,16,,,98,82,2017-05-14,2017-04-19,2017-07-19,8
"Post: ""Don’t let #cigs cut your life short. Smoking...""",2017-05-16,6073069657039,900,1,5,2,51,25,2017-05-14,2017-04-19,2017-07-19,8.28
"Post: ""Smoking can cause cancer almost anywhere in the...""",2017-05-16,6073067486839,755,,3,4,41,23,2017-05-14,2017-04-19,2017-07-19,8.28
"Post: ""#Smoking can weaken the immune system, leaving a...""",2017-05-16,6073062071639,1061,,4,4,51,23,2017-05-14,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-05-16,6073062044439,2750,2,1,,15,12,2017-05-14,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-16,6073060528039,1009,7,,1,72,64,2017-05-14,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-15,6073040713439,2714,3,,,44,41,2017-05-13,2017-04-19,2017-07-19,8
"Post: ""Forget death, chase life. 480,000 US deaths are...""",2017-05-15,6073038668439,764,,3,,48,38,2017-05-13,2017-04-19,2017-07-19,8.28
"Post: ""How does #smoking take a decade of life away?...""",2017-05-15,6073036553039,474,,,,9,2,2017-05-13,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-05-15,6073030303839,3367,4,,,46,42,2017-05-13,2017-04-19,2017-07-19,8
"Post: ""Protect your loved ones by living #tobaccofree....""",2017-05-15,6073030265439,441,1,2,1,30,25,2017-05-13,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-05-15,6073028797639,802,7,,,124,117,2017-05-13,2017-04-19,2017-07-19,8
"Post: ""Some say they smoke to reduce stress. Nope....""",2017-05-14,6073004308039,766,3,6,4,52,22,2017-05-12,2017-04-19,2017-07-19,8.28
"Post: ""If nobody used tobacco, ~230,000 US cancer deaths...""",2017-05-14,6072999836439,1072,2,5,5,67,36,2017-05-12,2017-04-19,2017-07-19,8.28
"Post: ""About 50% of 3-11 year-olds are exposed to...""",2017-05-14,6072990046639,752,1,2,4,53,35,2017-05-12,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-05-14,6072989930839,2127,3,,2,25,20,2017-05-12,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-14,6072987834439,667,4,,,108,104,2017-05-12,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-13,6072955513239,2785,2,,1,40,37,2017-05-11,2017-04-19,2017-07-19,8
"Post: ""If nobody smoked, about 30% of US cancer deaths...""",2017-05-13,6072952839639,843,3,3,7,47,21,2017-05-11,2017-04-19,2017-07-19,8.28
"Post: ""There is no safe level of exposure to secondhand...""",2017-05-13,6072948440639,559,1,2,2,35,27,2017-05-11,2017-04-19,2017-07-19,8.28
"Post: ""Even if we don’t smoke, we could be breathing in...""",2017-05-13,6072939377039,489,2,2,2,38,20,2017-05-11,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-05-13,6072939288239,511,5,,,90,85,2017-05-11,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-13,6072936614639,511,5,,,63,58,2017-05-11,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-12,6072901842639,2900,2,,,17,15,2017-05-10,2017-04-19,2017-07-19,8
"Post: ""#Smoking damages DNA, which can cause cancer...""",2017-05-12,6072898524839,773,2,4,2,50,22,2017-05-10,2017-04-19,2017-07-19,8.28
"Post: ""#Smoking damages our DNA, which can lead to...""",2017-05-12,6072893940039,499,2,2,,19,12,2017-05-10,2017-04-19,2017-07-19,8.28
"Post: ""When someone dies from #tobacco use, we lose them...""",2017-05-12,6072884204839,614,1,2,,10,5,2017-05-10,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-05-12,6072883885839,347,14,,,75,61,2017-05-10,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-12,6072880545039,866,5,,,65,60,2017-05-10,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-11,6072850299639,2095,2,,,41,39,2017-05-09,2017-04-19,2017-07-19,8
"Post: ""There is no safe level of exposure to secondhand...""",2017-05-11,6072846037839,459,1,1,,13,8,2017-05-09,2017-04-19,2017-07-19,8.28
"Post: ""Look out for the lil ones by keeping it...""",2017-05-11,6072841444239,579,1,4,3,28,14,2017-05-09,2017-04-19,2017-07-19,8.28
"Post: ""#Smoking can destroy the tiny hairs that help...""",2017-05-11,6072832503639,544,,,1,26,16,2017-05-09,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-05-11,6072832391839,1539,2,1,,43,40,2017-05-09,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-11,6072829587039,664,3,,,118,115,2017-05-09,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-10,6072797201239,2312,,,,39,39,2017-05-08,2017-04-19,2017-07-19,8
"Post: ""About 30% of US cancer deaths are linked to...""",2017-05-10,6072792493839,860,,8,,49,34,2017-05-08,2017-04-19,2017-07-19,8.28
"Post: ""If nobody smoked, about 160,000 cancer deaths in...""",2017-05-10,6072788391439,1302,4,9,4,75,47,2017-05-08,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-05-10,6072780323039,747,5,,,62,57,2017-05-08,2017-04-19,2017-07-19,8
"Post: ""Teens underestimate how addictive #cigarettes...""",2017-05-10,6072779167439,1026,,4,4,51,35,2017-05-08,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-05-10,6072776591439,573,7,,,94,87,2017-05-08,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-09,6072746123239,894,5,,,92,87,2017-05-07,2017-04-19,2017-07-19,8
"Post: ""Formaldehyde is a cancer-causer in #cigarette...""",2017-05-09,6072744102639,473,3,,,333,330,2017-05-07,2017-04-19,2017-07-19,8.28
"Post: ""If nobody smoked, about 30% of cancer deaths in...""",2017-05-09,6072741553039,1936,,3,19,227,47,2017-05-07,2017-04-19,2017-07-19,8.28
"Post: ""Over 160,000 cancer deaths in the US every year...""",2017-05-09,6072736492439,581,,4,,31,23,2017-05-07,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-05-09,6072735500439,2510,6,3,5,27,13,2017-05-07,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-09,6072733915839,823,8,,,113,105,2017-05-07,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-08,6072714064039,1513,7,,,85,78,2017-05-06,2017-04-19,2017-07-19,8
"Post: ""Over 100 million non-smokers in this country are...""",2017-05-08,6072711374639,948,,5,3,49,28,2017-05-06,2017-04-19,2017-07-19,8.28
"Post: ""Nicotine can change the way a person's brain...""",2017-05-08,6072708037639,608,4,4,2,44,29,2017-05-06,2017-04-19,2017-07-19,8.28
"Post: ""160,000+ US cancer deaths every year are linked...""",2017-05-08,6072701168639,597,4,,,367,363,2017-05-06,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-05-08,6072701153639,684,4,,,113,109,2017-05-06,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-08,6072699472839,816,7,,,102,95,2017-05-06,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-07,6072676015439,3047,2,,,64,62,2017-05-05,2017-04-19,2017-07-19,8
"Post: ""Secondhand smoke causes 40,000+ US deaths per...""",2017-05-07,6072670550639,950,1,3,1,48,30,2017-05-05,2017-04-19,2017-07-19,8.28
"Post: ""Forget death, chase life. About 20% of all US...""",2017-05-07,6072665878439,1009,4,,,441,437,2017-05-05,2017-04-19,2017-07-19,8.28
"Post: ""About 40% of US non-smokers are exposed to toxic...""",2017-05-07,6072650157639,288,,1,1,5,2,2017-05-05,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-05-07,6072649957239,3077,2,,,43,41,2017-05-05,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-07,6072646777039,2166,2,,,26,24,2017-05-05,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-06,6072616520839,1672,6,,,20,14,2017-05-04,2017-04-19,2017-07-19,8
"Post: ""Nicotine is highly addictive. Every day in the US...""",2017-05-06,6072612040439,1294,2,5,2,48,33,2017-05-04,2017-04-19,2017-07-19,8.28
"Post: ""#Smoking can shorten your life by 10 years. If...""",2017-05-06,6072607650639,516,1,3,,14,6,2017-05-04,2017-04-19,2017-07-19,8.28
"Post: ""Every day in the US 700+ youth become daily...""",2017-05-06,6072594861839,459,,1,2,21,15,2017-05-04,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-05-06,6072594765839,3003,3,1,,58,54,2017-05-04,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-06,6072591653839,922,9,,,115,106,2017-05-04,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-05,6072557417439,1772,2,,,16,14,2017-05-03,2017-04-19,2017-07-19,8
"Post: ""Using #tobacco products can lead to addiction and...""",2017-05-05,6072554058839,409,1,,,4,,2017-05-03,2017-04-19,2017-07-19,8.28
"Post: ""#Smoking can do serious damage to your wallet....""",2017-05-05,6072549555039,1151,3,12,1,54,30,2017-05-03,2017-04-19,2017-07-19,8.28
"Post: ""100 million+ US non-smokers are exposed to toxic...""",2017-05-05,6072539815239,285,1,,1,17,11,2017-05-03,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-05-05,6072539777639,925,3,,,74,71,2017-05-03,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-05,6072536963839,2818,1,,,10,9,2017-05-03,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-04,6072501971839,3313,3,,1,50,46,2017-05-02,2017-04-19,2017-07-19,8
"Post: ""#Smoking can destroy the tiny hairs that help...""",2017-05-04,6072498577439,572,5,,,308,303,2017-05-02,2017-04-19,2017-07-19,8.28
"Post: ""Some say they smoke to reduce stress. Nope....""",2017-05-04,6072492936639,489,1,1,1,31,24,2017-05-02,2017-04-19,2017-07-19,8.28
"Post: ""#Tobacco use causes ~20% of all US deaths-more...""",2017-05-04,6072482290839,739,,4,3,37,22,2017-05-02,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-05-04,6072482214039,367,11,,,61,50,2017-05-02,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-04,6072478828039,938,5,,,105,100,2017-05-02,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-03,6072445032839,3633,4,,,27,23,2017-05-01,2017-04-19,2017-07-19,8
"Post: ""Protect your loved ones by living #tobaccofree....""",2017-05-03,6072441850439,616,,1,1,28,21,2017-05-01,2017-04-19,2017-07-19,8.28
"Post: ""#Smoking can damage our wallets. Smoking half a...""",2017-05-03,6072437784839,722,5,5,4,62,26,2017-05-01,2017-04-19,2017-07-19,8.28
"Post: ""If nobody smoked, about 160,000 US cancer deaths...""",2017-05-03,6072430307839,907,4,5,2,37,22,2017-05-01,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-05-03,6072430287639,829,8,,,85,77,2017-05-01,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-03,6072428597439,1077,5,,,72,67,2017-05-01,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-02,6072408583439,1506,6,,,27,21,2017-04-30,2017-04-19,2017-07-19,8
"Post: ""Formaldehyde is used to embalm dead bodies. It is...""",2017-05-02,6072406606039,1398,2,,,444,442,2017-04-30,2017-04-19,2017-07-19,8.28
"Post: ""Using #tobacco products can lead to addiction and...""",2017-05-02,6072404407239,905,1,2,4,44,28,2017-04-30,2017-04-19,2017-07-19,8.28
"Post: ""#Smoking can weaken your immune system, leaving...""",2017-05-02,6072399421239,444,,1,2,31,22,2017-04-30,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-05-02,6072399319639,707,4,,,116,112,2017-04-30,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-02,6072398167439,888,7,,,85,78,2017-04-30,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-01,6072381869639,688,3,,,79,76,2017-04-29,2017-04-19,2017-07-19,8
"Post: ""About 50% of 3-11 year-olds are exposed to...""",2017-05-01,6072380106839,619,,4,2,31,17,2017-04-29,2017-04-19,2017-07-19,8.28
"Post: ""In the US, 480,000 deaths are caused by a...""",2017-05-01,6072378117039,891,3,4,2,48,33,2017-04-29,2017-04-19,2017-07-19,8.28
"Post: ""If nobody used tobacco, ~40% of US cancer deaths...""",2017-05-01,6072372733839,1640,2,9,8,96,37,2017-04-29,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-05-01,6072372690639,2879,5,,,20,15,2017-04-29,2017-04-19,2017-07-19,8
"Instagram Post",2017-05-01,6072371262239,2979,2,,5,54,47,2017-04-29,2017-04-19,2017-07-19,8
"Instagram Post",2017-04-30,6072350812039,2278,5,,3,38,30,2017-04-28,2017-04-19,2017-07-19,8
"Post: ""On average, every cig reduces your life by 11...""",2017-04-30,6072348415039,1060,6,6,3,46,21,2017-04-28,2017-04-19,2017-07-19,8.28
"Post: ""Over 15 million 3-11 year-olds are exposed to...""",2017-04-30,6072343635039,520,,,1,41,36,2017-04-28,2017-04-19,2017-07-19,8.28
"Post: ""#Smoking damages our DNA, which can cause cancer...""",2017-04-30,6072335481239,693,1,7,1,43,30,2017-04-28,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-04-30,6072335124639,588,4,,,64,60,2017-04-28,2017-04-19,2017-07-19,8
"Instagram Post",2017-04-30,6072331757239,423,2,,,58,56,2017-04-28,2017-04-19,2017-07-19,8
"Instagram Post",2017-04-29,6072300338439,1100,5,,,11,6,2017-04-27,2017-04-19,2017-07-19,8
"Post: ""Smoking can cause cancer almost anywhere in the...""",2017-04-29,6072297103639,287,3,1,1,24,18,2017-04-27,2017-04-19,2017-07-19,8.28
"Post: ""Over 15 million 3-11 year-olds are exposed to...""",2017-04-29,6072293000439,508,,1,,19,13,2017-04-27,2017-04-19,2017-07-19,8.28
"Post: ""How does #smoking take a decade of life away?...""",2017-04-29,6072284108239,581,3,2,,34,17,2017-04-27,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-04-29,6072284034039,544,4,,,60,56,2017-04-27,2017-04-19,2017-07-19,8
"Instagram Post",2017-04-29,6072281144439,504,1,,,72,71,2017-04-27,2017-04-19,2017-07-19,8
"Instagram Post",2017-04-28,6072249025239,2981,2,,,21,19,2017-04-26,2017-04-19,2017-07-19,8
"Post: ""Even occasional #smoking can hurt you. Every...""",2017-04-28,6072245693039,1181,2,7,4,62,25,2017-04-26,2017-04-19,2017-07-19,8.28
"Post: ""#Smoking half a pack per day costs about...""",2017-04-28,6072241166439,177,,2,,23,21,2017-04-26,2017-04-19,2017-07-19,8.28
"Post: ""#Smoking damages your DNA, which can lead to...""",2017-04-28,6072231220639,541,,2,1,54,43,2017-04-26,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-04-28,6072231186439,653,2,,,64,62,2017-04-26,2017-04-19,2017-07-19,8
"Instagram Post",2017-04-28,6072228114039,1195,4,,,65,61,2017-04-26,2017-04-19,2017-07-19,8
"Instagram Post",2017-04-27,6072198173239,1259,3,,,28,25,2017-04-25,2017-04-19,2017-07-19,8
"Post: ""Secondhand smoke causes 40000+ US deaths per...""",2017-04-27,6072193692839,246,,1,2,19,12,2017-04-25,2017-04-19,2017-07-19,8.28
"Post: ""Smoking #cigarettes can claim more than 10 years...""",2017-04-27,6072189562439,500,,1,2,40,27,2017-04-25,2017-04-19,2017-07-19,8.28
"Post: ""Even occasional #smoking can hurt you. If nobody...""",2017-04-27,6072177297839,376,1,2,1,37,31,2017-04-25,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-04-27,6072177240839,1312,4,,,45,41,2017-04-25,2017-04-19,2017-07-19,8
"Instagram Post",2017-04-27,6072173959839,628,5,,,63,58,2017-04-25,2017-04-19,2017-07-19,8
"Instagram Post",2017-04-26,6072145373239,615,8,,,78,70,2017-04-24,2017-04-19,2017-07-19,8
"Post: ""Over 16 million Americans have a disease caused...""",2017-04-26,6072142091239,344,2,,,35,27,2017-04-24,2017-04-19,2017-07-19,8.28
"Post: ""Even occasional #smoking can hurt you. Every...""",2017-04-26,6072137594039,365,,,1,22,19,2017-04-24,2017-04-19,2017-07-19,8.28
"Post: ""#Smoking can damage your wallet. Smoking half a...""",2017-04-26,6072127140839,466,,1,1,15,12,2017-04-24,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-04-26,6072127041439,1851,3,,1,29,25,2017-04-24,2017-04-19,2017-07-19,8
"Instagram Post",2017-04-26,6072124102839,746,8,,,83,75,2017-04-24,2017-04-19,2017-07-19,8
"Instagram Post",2017-04-25,6072097449039,733,5,,,105,100,2017-04-23,2017-04-19,2017-07-19,8
"Post: ""If you smoke, you may be cuttin’ your time with...""",2017-04-25,6072094026039,628,2,1,,6,2,2017-04-23,2017-04-19,2017-07-19,8.28
"Post: ""480,000 US deaths are caused by a...""",2017-04-25,6072090962239,419,,3,3,39,28,2017-04-23,2017-04-19,2017-07-19,8.28
"B Free of Tobacco - Page Post Engagement",2017-04-25,6072090795039,4,,,,,,2017-04-23,2017-04-19,2017-07-19,0.04
"Instagram Post",2017-04-25,6072085297439,341,10,,,59,49,2017-04-23,2017-04-19,2017-07-19,8
"Post: ""#Smoking can shorten your life by over 12%. If...""",2017-04-25,6072085187639,889,,4,2,60,51,2017-04-23,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-04-25,6072083819239,4438,3,,,17,14,2017-04-23,2017-04-19,2017-07-19,8
"Instagram Post",2017-04-24,6072066628839,1826,6,,,54,48,2017-04-22,2017-04-19,2017-07-19,8
"Post: ""Hydrogen cyanide is found in rat poison. It’s...""",2017-04-24,6072064514639,404,1,,1,25,16,2017-04-22,2017-04-19,2017-07-19,8.28
"Post: ""Polonium-210 is a chemical in #cigarette smoke....""",2017-04-24,6072061794839,308,2,,1,26,21,2017-04-22,2017-04-19,2017-07-19,8.28
"Post: ""Smokers die about 12% earlier than non-smokers....""",2017-04-24,6072055927439,803,3,1,,35,26,2017-04-22,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-04-24,6072055878039,330,9,,,98,89,2017-04-22,2017-04-19,2017-07-19,8
"Instagram Post",2017-04-24,6072054000039,750,4,,,80,76,2017-04-22,2017-04-19,2017-07-19,8
"Instagram Post",2017-04-23,6072033941639,4196,1,,,8,7,2017-04-21,2017-04-19,2017-07-19,8
"Post: ""In the US, about 20% of all deaths are caused by...""",2017-04-23,6072030753439,936,1,,,356,355,2017-04-21,2017-04-19,2017-07-19,8.28
"Post: ""If you smoke, you may be cuttin’ your time with...""",2017-04-23,6072026384839,888,4,2,3,48,30,2017-04-21,2017-04-19,2017-07-19,8.28
"Post: ""About 30% of cancer deaths in the US are linked...""",2017-04-23,6072016996839,692,,1,1,31,26,2017-04-21,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-04-23,6072016879239,3975,7,,,16,9,2017-04-21,2017-04-19,2017-07-19,8
"Instagram Post",2017-04-23,6072014161639,1043,5,,1,77,71,2017-04-21,2017-04-19,2017-07-19,8
"Instagram Post",2017-04-22,6071985411039,436,4,,,76,72,2017-04-20,2017-04-19,2017-07-19,8
"Post: ""Even occasional #smoking can hurt you. On...""",2017-04-22,6071982734439,650,,3,3,32,23,2017-04-20,2017-04-19,2017-07-19,8.28
"Post: ""You can never buy back time, so keep it...""",2017-04-22,6071979190639,245,1,,,25,22,2017-04-20,2017-04-19,2017-07-19,8.28
"Post: ""#Smoking damages your DNA, which can cause cancer...""",2017-04-22,6071970790839,570,,2,1,10,3,2017-04-20,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-04-22,6071970656639,446,7,,,66,59,2017-04-20,2017-04-19,2017-07-19,8
"Instagram Post",2017-04-22,6071968193439,952,,,,84,84,2017-04-20,2017-04-19,2017-07-19,8
"Instagram Post",2017-04-21,6071940020839,956,2,,,84,82,2017-04-19,2017-04-19,2017-07-19,8
"Post: ""#Tobacco use causes 1300 US deaths daily-more...""",2017-04-20,6071936541039,496,,,1,22,16,2017-04-19,2017-04-19,2017-07-19,8.28
"Post: ""3 out of 4 teen smokers become adult smokers....""",2017-04-20,6071932375039,515,,,,48,46,2017-04-19,2017-04-19,2017-07-19,8.28
"Post: ""Even if someone doesn't smoke, they could be...""",2017-04-20,6071923147639,594,4,,,93,89,2017-04-19,2017-04-19,2017-07-19,8.28
"Instagram Post",2017-04-21,6071923075839,1019,6,,,91,85,2017-04-19,2017-04-19,2017-07-19,8
"Instagram Post",2017-04-21,6071919500839,276,6,,,82,76,2017-04-19,2017-04-19,2017-07-19,8
